"type","subplot","n"
"raw_laz","P10S1",347589888
"raw_laz","P10S2",348540416
"raw_laz","P10S3",348459520
"raw_laz","P10S4",348540416
"raw_laz","P10S5",348540416
"raw_laz","P10S6",174270208
"raw_laz","P10S7",174270208
"raw_laz","P10S8",348520192
"raw_laz","P10S9",332555629
"raw_laz","P11S1",341724928
"raw_laz","P11S2",346902272
"raw_laz","P11S3",174189312
"raw_laz","P11S4",168101888
"raw_laz","P11S5",174270208
"raw_laz","P11S6",173238784
"raw_laz","P11S7",174270208
"raw_laz","P11S8",174270208
"raw_laz","P11S9",174270208
"raw_laz","P12S1",160619008
"raw_laz","P12S2",174270208
"raw_laz","P12S3",173946624
"raw_laz","P12S4",174270208
"raw_laz","P12S5",174270208
"raw_laz","P12S6",173602816
"raw_laz","P12S7",164744704
"raw_laz","P12S8",153763072
"raw_laz","P12S9",174270208
"raw_laz","P13S1",174270208
"raw_laz","P13S2",174270208
"raw_laz","P13S3",348520192
"raw_laz","P13S4",174270208
"raw_laz","P13S5",347933696
"raw_laz","P13S6",347933696
"raw_laz","P13S7",348540416
"raw_laz","P13S8",174270208
"raw_laz","P13S9",331450004
"raw_laz","P14S1",174270208
"raw_laz","P14S2",174270208
"raw_laz","P14S3",174270208
"raw_laz","P14S4",174270208
"raw_laz","P14S5",174270208
"raw_laz","P14S6",174270208
"raw_laz","P14S7",174270208
"raw_laz","P14S8",174270208
"raw_laz","P14S9",174270208
"raw_laz","P15S1",174270208
"raw_laz","P15S2",348540416
"raw_laz","P15S3",174270208
"raw_laz","P15S4",348520192
"raw_laz","P15S5",174270208
"raw_laz","P15S6",348540416
"raw_laz","P15S7",174270208
"raw_laz","P15S8",174270208
"raw_laz","P15S9",174270208
"raw_laz","P1S1",348520192
"raw_laz","P1S2",522810624
"raw_laz","P1S3",348540416
"raw_laz","P1S4",348540416
"raw_laz","P1S5",348499968
"raw_laz","P1S6",348156160
"raw_laz","P1S7",348540416
"raw_laz","P1S8",348520192
"raw_laz","P1S9",521374720
"raw_laz","P2S1",348338176
"raw_laz","P2S2",174270208
"raw_laz","P2S3",348196608
"raw_laz","P2S4",348540416
"raw_laz","P2S5",348540416
"raw_laz","P2S6",348540416
"raw_laz","P2S7",348540416
"raw_laz","P2S8",348520192
"raw_laz","P2S9",174270208
"raw_laz","P3S1",174270208
"raw_laz","P3S2",174148864
"raw_laz","P3S3",174270208
"raw_laz","P3S4",174270208
"raw_laz","P3S5",174229760
"raw_laz","P3S6",174169088
"raw_laz","P3S7",174270208
"raw_laz","P3S8",174270208
"raw_laz","P3S9",173683712
"raw_laz","P4S1",348540416
"raw_laz","P4S2",348358400
"raw_laz","P4S3",174270208
"raw_laz","P4S4",338489088
"raw_laz","P4S5",304897024
"raw_laz","P4S6",345304576
"raw_laz","P4S7",335091456
"raw_laz","P4S8",171641088
"raw_laz","P4S9",172106240
"raw_laz","P5S1",348540416
"raw_laz","P5S2",522264576
"raw_laz","P5S3",332361216
"raw_laz","P5S4",325161472
"raw_laz","P5S5",302982646
"raw_laz","P5S6",339217152
"raw_laz","P5S7",320408832
"raw_laz","P5S8",321177344
"raw_laz","P5S9",348055040
"raw_laz","P6S1",344313600
"raw_laz","P6S2",522689280
"raw_laz","P6S3",522810624
"raw_laz","P6S4",339480064
"raw_laz","P6S5",290902016
"raw_laz","P6S6",341421568
"raw_laz","P6S7",348520192
"raw_laz","P6S8",522729728
"raw_laz","P6S9",348540416
"raw_laz","P7S1",520221952
"raw_laz","P7S2",335663045
"raw_laz","P7S3",174270208
"raw_laz","P7S4",348540416
"raw_laz","P7S5",348540416
"raw_laz","P7S6",348398848
"raw_laz","P7S7",174270208
"raw_laz","P7S8",348479744
"raw_laz","P7S9",311247360
"raw_laz","P8S1",348378624
"raw_laz","P8S2",348540416
"raw_laz","P8S3",348358400
"raw_laz","P8S4",346295552
"raw_laz","P8S5",348317952
"raw_laz","P8S6",328599552
"raw_laz","P8S7",315858432
"raw_laz","P8S8",346356224
"raw_laz","P8S9",342999040
"raw_laz","P9S1",348520192
"raw_laz","P9S2",312724319
"raw_laz","P9S3",304336676
"raw_laz","P9S4",348419072
"raw_laz","P9S5",348520192
"raw_laz","P9S6",348520192
"raw_laz","P9S7",347468544
"raw_laz","P9S8",173461248
"raw_laz","P9S9",324257357
"raw_laz","S3S1",315939328
"raw_laz","S3S2",169295104
"raw_laz","S3S3",345931520
"raw_laz","S3S4",348216832
"raw_laz","S3S5",174270208
"raw_laz","S3S6",348520192
"raw_laz","S3S7",296941820
"raw_laz","S3S8",348540416
"raw_laz","S3S9",174249984
"raw_laz","S5S1",344859648
"raw_laz","S5S2",174270208
"raw_laz","S5S3",348540416
"raw_laz","S5S4",348540416
"raw_laz","S5S5",348540416
"raw_laz","S5S6",348540416
"raw_laz","S5S7",348520192
"raw_laz","S5S8",348479744
"raw_laz","S5S9",343949568
"raw_laz","S7S1",174270208
"raw_laz","S7S2",348540416
"raw_laz","S7S3",348540416
"raw_laz","S7S4",348540416
"raw_laz","S7S5",174270208
"raw_laz","S7S6",174249984
"raw_laz","S7S7",348540416
"raw_laz","S7S8",174270208
"raw_laz","S7S9",174270208
"raw_laz","W11S1",174270208
"raw_laz","W11S2",348540416
"raw_laz","W11S3",348540416
"raw_laz","W11S4",348540416
"raw_laz","W11S5",348540416
"raw_laz","W11S6",522810624
"raw_laz","W11S7",174249984
"raw_laz","W11S8",347913472
"raw_laz","W11S9",348439296
"raw_laz","W18S1",348499968
"raw_laz","W18S2",347223472
"raw_laz","W18S3",174270208
"raw_laz","W18S4",522790400
"raw_laz","W18S5",348540416
"raw_laz","W18S6",348540416
"raw_laz","W18S7",348378624
"raw_laz","W18S8",174270208
"raw_laz","W18S9",341097984
"raw_laz","W26S1",522810624
"raw_laz","W26S2",347223472
"raw_laz","W26S3",348439296
"raw_laz","W26S4",348540416
"raw_laz","W26S5",348499968
"raw_laz","W26S7",348540416
"raw_laz","W26S8",341724928
"raw_laz","W26S9",348540416
"raw_laz","W9S1",348237056
"raw_laz","W9S2",348499968
"raw_laz","W9S3",174270208
"raw_laz","W9S4",174270208
"raw_laz","W9S5",174270208
"raw_laz","W9S6",348540416
"raw_laz","W9S7",331513224
"raw_laz","W9S8",146971552
"raw_laz","W9S9",174270208
"denoise_laz","P10S1",54486143
"denoise_laz","P10S2",66334391
"denoise_laz","P10S3",48234384
"denoise_laz","P10S4",36994560
"denoise_laz","P10S5",70748838
"denoise_laz","P10S6",32780768
"denoise_laz","P10S7",31111705
"denoise_laz","P10S8",46688145
"denoise_laz","P10S9",52032128
"denoise_laz","P11S1",62099957
"denoise_laz","P11S2",56762263
"denoise_laz","P11S3",25493691
"denoise_laz","P11S4",27497802
"denoise_laz","P11S5",34136949
"denoise_laz","P11S6",35224333
"denoise_laz","P11S7",33219720
"denoise_laz","P11S8",21125153
"denoise_laz","P11S9",26726765
"denoise_laz","P12S1",27222055
"denoise_laz","P12S2",45294904
"denoise_laz","P12S3",38483975
"denoise_laz","P12S4",33381421
"denoise_laz","P12S5",37950981
"denoise_laz","P12S6",32391717
"denoise_laz","P12S7",24504390
"denoise_laz","P12S8",35312515
"denoise_laz","P12S9",35377843
"denoise_laz","P13S1",24118824
"denoise_laz","P13S2",29532815
"denoise_laz","P13S3",63747278
"denoise_laz","P13S4",32316802
"denoise_laz","P13S5",59923922
"denoise_laz","P13S6",59928311
"denoise_laz","P13S7",55503634
"denoise_laz","P13S8",24812611
"denoise_laz","P13S9",50457231
"denoise_laz","P14S1",25311444
"denoise_laz","P14S2",32832577
"denoise_laz","P14S3",27868129
"denoise_laz","P14S4",23928570
"denoise_laz","P14S5",27704579
"denoise_laz","P14S6",27336424
"denoise_laz","P14S7",36629342
"denoise_laz","P14S8",25593718
"denoise_laz","P14S9",27111938
"denoise_laz","P15S1",27940774
"denoise_laz","P15S2",54247270
"denoise_laz","P15S3",27218999
"denoise_laz","P15S4",55983307
"denoise_laz","P15S5",29923024
"denoise_laz","P15S6",55382119
"denoise_laz","P15S7",33013461
"denoise_laz","P15S8",21947278
"denoise_laz","P15S9",22880640
"denoise_laz","P1S1",53978982
"denoise_laz","P1S2",94794233
"denoise_laz","P1S3",58248531
"denoise_laz","P1S4",63382860
"denoise_laz","P1S5",51467109
"denoise_laz","P1S6",51396872
"denoise_laz","P1S7",52332536
"denoise_laz","P1S8",61891398
"denoise_laz","P1S9",76814989
"denoise_laz","P2S1",68786435
"denoise_laz","P2S2",29384721
"denoise_laz","P2S3",43645313
"denoise_laz","P2S4",42146559
"denoise_laz","P2S5",55649141
"denoise_laz","P2S6",67007469
"denoise_laz","P2S7",46256948
"denoise_laz","P2S8",50432850
"denoise_laz","P2S9",22987172
"denoise_laz","P3S1",29741328
"denoise_laz","P3S2",30742856
"denoise_laz","P3S3",31887075
"denoise_laz","P3S4",33877256
"denoise_laz","P3S5",23921362
"denoise_laz","P3S6",23682996
"denoise_laz","P3S7",26190399
"denoise_laz","P3S8",29883224
"denoise_laz","P3S9",26376361
"denoise_laz","P4S1",64586359
"denoise_laz","P4S2",58335008
"denoise_laz","P4S3",22539216
"denoise_laz","P4S4",43760548
"denoise_laz","P4S5",39108348
"denoise_laz","P4S6",60084611
"denoise_laz","P4S7",42932787
"denoise_laz","P4S8",19545065
"denoise_laz","P4S9",23444672
"denoise_laz","P5S1",51340551
"denoise_laz","P5S2",84935640
"denoise_laz","P5S3",47721380
"denoise_laz","P5S4",50493448
"denoise_laz","P5S5",42249217
"denoise_laz","P5S6",49477197
"denoise_laz","P5S7",46407720
"denoise_laz","P5S8",41484624
"denoise_laz","P5S9",41617286
"denoise_laz","P6S1",54558531
"denoise_laz","P6S2",88996132
"denoise_laz","P6S3",69989016
"denoise_laz","P6S4",53293588
"denoise_laz","P6S5",51811822
"denoise_laz","P6S6",51050836
"denoise_laz","P6S7",57977164
"denoise_laz","P6S8",86301505
"denoise_laz","P6S9",63224483
"denoise_laz","P7S1",84453134
"denoise_laz","P7S2",56377134
"denoise_laz","P7S3",26751011
"denoise_laz","P7S4",62384119
"denoise_laz","P7S5",56753782
"denoise_laz","P7S6",42408066
"denoise_laz","P7S7",17375561
"denoise_laz","P7S8",35702047
"denoise_laz","P7S9",39750469
"denoise_laz","P8S1",49866002
"denoise_laz","P8S2",59017751
"denoise_laz","P8S3",60451323
"denoise_laz","P8S4",69286893
"denoise_laz","P8S5",56009992
"denoise_laz","P8S6",59952607
"denoise_laz","P8S7",55592831
"denoise_laz","P8S8",56808721
"denoise_laz","P8S9",51220347
"denoise_laz","P9S1",69264417
"denoise_laz","P9S2",57764012
"denoise_laz","P9S3",61182632
"denoise_laz","P9S4",63002101
"denoise_laz","P9S5",63578678
"denoise_laz","P9S6",54143143
"denoise_laz","P9S7",61774398
"denoise_laz","P9S8",27271978
"denoise_laz","P9S9",55849509
"denoise_laz","S3S1",32157214
"denoise_laz","S3S2",14881466
"denoise_laz","S3S3",32108521
"denoise_laz","S3S4",31513274
"denoise_laz","S3S5",17535816
"denoise_laz","S3S6",31500184
"denoise_laz","S3S7",29054325
"denoise_laz","S3S8",32504037
"denoise_laz","S3S9",17265336
"denoise_laz","S5S1",63313726
"denoise_laz","S5S2",28048118
"denoise_laz","S5S3",59496347
"denoise_laz","S5S4",71021703
"denoise_laz","S5S5",66812851
"denoise_laz","S5S6",56687528
"denoise_laz","S5S7",55804409
"denoise_laz","S5S8",66407747
"denoise_laz","S5S9",68064515
"denoise_laz","S7S1",14540648
"denoise_laz","S7S2",30861478
"denoise_laz","S7S3",30657010
"denoise_laz","S7S4",30310598
"denoise_laz","S7S5",15555003
"denoise_laz","S7S6",14126576
"denoise_laz","S7S7",33561463
"denoise_laz","S7S8",16082982
"denoise_laz","S7S9",16430471
"denoise_laz","W11S1",25608306
"denoise_laz","W11S2",70543688
"denoise_laz","W11S3",58153794
"denoise_laz","W11S4",62019373
"denoise_laz","W11S5",58243255
"denoise_laz","W11S6",79396714
"denoise_laz","W11S7",30095842
"denoise_laz","W11S8",62369688
"denoise_laz","W11S9",67112728
"denoise_laz","W18S1",55993979
"denoise_laz","W18S2",47199320
"denoise_laz","W18S3",35923963
"denoise_laz","W18S4",98848761
"denoise_laz","W18S5",65048114
"denoise_laz","W18S6",62690726
"denoise_laz","W18S7",52314328
"denoise_laz","W18S8",25812045
"denoise_laz","W18S9",58035617
"denoise_laz","W26S1",71725510
"denoise_laz","W26S2",47199320
"denoise_laz","W26S3",48504739
"denoise_laz","W26S4",62739154
"denoise_laz","W26S5",39275629
"denoise_laz","W26S7",47912572
"denoise_laz","W26S8",62074530
"denoise_laz","W26S9",57239459
"denoise_laz","W9S1",51895711
"denoise_laz","W9S2",49835393
"denoise_laz","W9S3",20457107
"denoise_laz","W9S4",26909896
"denoise_laz","W9S5",26929103
"denoise_laz","W9S6",51706529
"denoise_laz","W9S7",50496194
"denoise_laz","W9S8",19320836
"denoise_laz","W9S9",28661698
"ptx","S3S1",315939348
"ptx","S3S2",169295114
"ptx","S3S3",345931540
"ptx","S3S4",348216852
"ptx","S3S5",174270218
"ptx","S3S6",348520212
"ptx","S3S7",296941840
"ptx","S3S8",348540436
"ptx","S3S9",174249994
"ptx","S5S1",344859668
"ptx","S5S2",174270218
"ptx","S5S3",348540436
"ptx","S5S4",348540436
"ptx","S5S5",348540436
"ptx","S5S6",348540436
"ptx","S5S7",348520212
"ptx","S5S8",348479764
"ptx","S5S9",343949588
"ptx","S7S1",174270218
"ptx","S7S2",348540436
"ptx","S7S3",348540436
"ptx","S7S4",348540436
"ptx","S7S5",174270218
"ptx","S7S6",174249994
"ptx","S7S7",348540436
"ptx","S7S8",174270218
"ptx","S7S9",174270218
"ptx","W11S1",174270218
"ptx","W11S2",348540436
"ptx","W11S3",348540436
"ptx","W11S4",348540436
"ptx","W11S5",348540436
"ptx","W11S6",522810654
"ptx","W11S7",174249994
"ptx","W11S8",347913492
"ptx","W11S9",348439316
"ptx","W18S1",348499988
"ptx","W18S2",347223492
"ptx","W18S3",174270218
"ptx","W18S4",522790430
"ptx","W18S5",348540436
"ptx","W18S6",348540436
"ptx","W18S7",348378644
"ptx","W18S8",174270218
"ptx","W18S9",341098004
"ptx","W26S1",522810654
"ptx","W26S2",347223492
"ptx","W26S3",348439316
"ptx","W26S4",348540436
"ptx","W26S5",348499988
"ptx","W26S7",348540436
"ptx","W26S8",341724948
"ptx","W26S9",348540436
"ptx","W9S1",348237076
"ptx","W9S2",348499988
"ptx","W9S3",174270218
"ptx","W9S4",174270218
"ptx","W9S5",174270218
"ptx","W9S6",348540436
"ptx","W9S7",331513244
"ptx","W9S8",146971562
"ptx","W9S9",174270218
"height_profile_laz","P10S1",25891948
"height_profile_laz","P10S2",39006054
"height_profile_laz","P10S3",28985820
"height_profile_laz","P10S4",20906387
"height_profile_laz","P10S5",29036729
"height_profile_laz","P10S6",11352540
"height_profile_laz","P10S7",16291136
"height_profile_laz","P10S8",29423763
"height_profile_laz","P10S9",23264612
"height_profile_laz","P11S1",32274640
"height_profile_laz","P11S2",31832014
"height_profile_laz","P11S3",15451737
"height_profile_laz","P11S4",10086571
"height_profile_laz","P11S5",19931190
"height_profile_laz","P11S6",20885209
"height_profile_laz","P11S7",17281767
"height_profile_laz","P11S8",11163678
"height_profile_laz","P11S9",14390257
"height_profile_laz","P12S1",13661388
"height_profile_laz","P12S2",26447419
"height_profile_laz","P12S3",19528207
"height_profile_laz","P12S4",17461378
"height_profile_laz","P12S5",22160266
"height_profile_laz","P12S6",18727329
"height_profile_laz","P12S7",14318723
"height_profile_laz","P12S8",15476641
"height_profile_laz","P12S9",20248060
"height_profile_laz","P13S1",13046133
"height_profile_laz","P13S2",14862327
"height_profile_laz","P13S3",26768995
"height_profile_laz","P13S4",15036125
"height_profile_laz","P13S5",30110329
"height_profile_laz","P13S6",940724
"height_profile_laz","P13S7",18126656
"height_profile_laz","P13S8",11797043
"height_profile_laz","P13S9",23742024
"height_profile_laz","P14S1",12910723
"height_profile_laz","P14S2",18530954
"height_profile_laz","P14S3",13969797
"height_profile_laz","P14S4",10476228
"height_profile_laz","P14S5",16119143
"height_profile_laz","P14S6",14418981
"height_profile_laz","P14S7",21307484
"height_profile_laz","P14S8",12488872
"height_profile_laz","P14S9",13226491
"height_profile_laz","P15S1",16928892
"height_profile_laz","P15S2",25834292
"height_profile_laz","P15S3",14080751
"height_profile_laz","P15S4",27391507
"height_profile_laz","P15S5",14243039
"height_profile_laz","P15S6",25170121
"height_profile_laz","P15S7",16166670
"height_profile_laz","P15S8",10086062
"height_profile_laz","P15S9",12440540
"height_profile_laz","P1S1",24451441
"height_profile_laz","P1S2",36251311
"height_profile_laz","P1S3",17598381
"height_profile_laz","P1S4",31547487
"height_profile_laz","P1S5",18988165
"height_profile_laz","P1S6",19453366
"height_profile_laz","P1S7",17026988
"height_profile_laz","P1S8",23764607
"height_profile_laz","P1S9",25277315
"height_profile_laz","P2S1",26822686
"height_profile_laz","P2S2",19502934
"height_profile_laz","P2S3",21599129
"height_profile_laz","P2S4",25341831
"height_profile_laz","P2S5",31987300
"height_profile_laz","P2S6",25262998
"height_profile_laz","P2S7",22703014
"height_profile_laz","P2S8",21803004
"height_profile_laz","P2S9",11154002
"height_profile_laz","P3S1",16314284
"height_profile_laz","P3S2",14469606
"height_profile_laz","P3S3",17718403
"height_profile_laz","P3S4",18171772
"height_profile_laz","P3S5",11639375
"height_profile_laz","P3S6",10680140
"height_profile_laz","P3S7",14023182
"height_profile_laz","P3S8",21544479
"height_profile_laz","P3S9",12790988
"height_profile_laz","P4S1",21551853
"height_profile_laz","P4S2",31211590
"height_profile_laz","P4S3",10458404
"height_profile_laz","P4S4",20363161
"height_profile_laz","P4S5",14119047
"height_profile_laz","P4S6",29225490
"height_profile_laz","P4S7",16137101
"height_profile_laz","P4S8",10529616
"height_profile_laz","P4S9",10107176
"height_profile_laz","P5S1",19182717
"height_profile_laz","P5S2",41667869
"height_profile_laz","P5S3",17677191
"height_profile_laz","P5S4",16470844
"height_profile_laz","P5S5",19071304
"height_profile_laz","P5S6",18723588
"height_profile_laz","P5S7",23195832
"height_profile_laz","P5S8",15035561
"height_profile_laz","P5S9",17997740
"height_profile_laz","P6S1",14495264
"height_profile_laz","P6S2",32678548
"height_profile_laz","P6S3",16058427
"height_profile_laz","P6S4",18484837
"height_profile_laz","P6S5",8539077
"height_profile_laz","P6S6",11253876
"height_profile_laz","P6S7",13085892
"height_profile_laz","P6S8",20675508
"height_profile_laz","P6S9",20838250
"height_profile_laz","P7S1",36807221
"height_profile_laz","P7S2",27186584
"height_profile_laz","P7S3",10886619
"height_profile_laz","P7S4",31525297
"height_profile_laz","P7S5",18190007
"height_profile_laz","P7S6",13880718
"height_profile_laz","P7S7",4768007
"height_profile_laz","P7S8",15171392
"height_profile_laz","P7S9",20431732
"height_profile_laz","P8S1",18407102
"height_profile_laz","P8S2",20873036
"height_profile_laz","P8S3",25210305
"height_profile_laz","P8S4",28598795
"height_profile_laz","P8S5",23278978
"height_profile_laz","P8S6",25775598
"height_profile_laz","P8S7",21619609
"height_profile_laz","P8S8",27663080
"height_profile_laz","P8S9",22295906
"height_profile_laz","P9S1",38016972
"height_profile_laz","P9S2",21777597
"height_profile_laz","P9S3",19955417
"height_profile_laz","P9S4",28942795
"height_profile_laz","P9S5",24067570
"height_profile_laz","P9S6",23561275
"height_profile_laz","P9S7",26000851
"height_profile_laz","P9S8",11694787
"height_profile_laz","P9S9",17738778
"height_profile_laz","S3S1",17772281
"height_profile_laz","S3S2",8891726
"height_profile_laz","S3S3",19776736
"height_profile_laz","S3S4",21055906
"height_profile_laz","S3S5",11785504
"height_profile_laz","S3S6",21461537
"height_profile_laz","S3S7",16000561
"height_profile_laz","S3S8",17418711
"height_profile_laz","S3S9",12712496
"height_profile_laz","S5S1",26180711
"height_profile_laz","S5S2",12172315
"height_profile_laz","S5S3",20812522
"height_profile_laz","S5S4",26481769
"height_profile_laz","S5S5",31898818
"height_profile_laz","S5S6",18423599
"height_profile_laz","S5S7",23455620
"height_profile_laz","S5S8",24657426
"height_profile_laz","S5S9",33575306
"height_profile_laz","S7S1",9775021
"height_profile_laz","S7S2",15905969
"height_profile_laz","S7S3",17253664
"height_profile_laz","S7S4",16341583
"height_profile_laz","S7S5",10809211
"height_profile_laz","S7S6",9290988
"height_profile_laz","S7S7",20141986
"height_profile_laz","S7S8",19411
"height_profile_laz","S7S9",10582066
"height_profile_laz","W11S1",12374303
"height_profile_laz","W11S2",29821790
"height_profile_laz","W11S3",25933612
"height_profile_laz","W11S4",33364612
"height_profile_laz","W11S5",26698773
"height_profile_laz","W11S6",36594032
"height_profile_laz","W11S7",13380072
"height_profile_laz","W11S8",31564116
"height_profile_laz","W11S9",32934793
"height_profile_laz","W18S1",25214121
"height_profile_laz","W18S2",0
"height_profile_laz","W18S3",17758672
"height_profile_laz","W18S4",46070134
"height_profile_laz","W18S5",27747487
"height_profile_laz","W18S6",25083942
"height_profile_laz","W18S7",26720996
"height_profile_laz","W18S8",10577242
"height_profile_laz","W18S9",23739989
"height_profile_laz","W26S1",47995585
"height_profile_laz","W26S2",28290842
"height_profile_laz","W26S3",30939444
"height_profile_laz","W26S4",36372353
"height_profile_laz","W26S5",30739629
"height_profile_laz","W26S7",32567029
"height_profile_laz","W26S8",34659758
"height_profile_laz","W26S9",22645279
"height_profile_laz","W9S1",24036166
"height_profile_laz","W9S2",24590331
"height_profile_laz","W9S3",11939960
"height_profile_laz","W9S4",13925234
"height_profile_laz","W9S5",11982322
"height_profile_laz","W9S6",26057032
"height_profile_laz","W9S7",29604296
"height_profile_laz","W9S8",8937099
"height_profile_laz","W9S9",14805235

