date,mcdi_plot_id,subplot,cardinal_direction,dpm_cm,sampled,dry_mass_g
2020-03-09,W11,1,N,25,NA,NA
2020-03-09,W11,1,E,26,TRUE,NA
2020-03-09,W11,1,S,30,NA,NA
2020-03-09,W11,1,W,30,TRUE,NA
2020-03-09,W11,2,N,18,NA,NA
2020-03-09,W11,2,E,16,NA,NA
2020-03-09,W11,2,S,26,TRUE,NA
2020-03-09,W11,2,W,20,NA,NA
2020-03-09,W11,3,N,21,NA,NA
2020-03-09,W11,3,E,21,NA,NA
2020-03-09,W11,3,S,15,NA,NA
2020-03-09,W11,3,W,30,NA,NA
2020-03-09,W11,4,N,14,NA,NA
2020-03-09,W11,4,E,16,NA,NA
2020-03-09,W11,4,S,25,TRUE,NA
2020-03-09,W11,4,W,21,TRUE,NA
2020-03-09,W11,5,N,22,NA,NA
2020-03-09,W11,5,E,25,NA,NA
2020-03-09,W11,5,S,20,TRUE,NA
2020-03-09,W11,5,W,17,NA,NA
2020-03-09,W11,6,N,13,NA,NA
2020-03-09,W11,6,E,18,NA,NA
2020-03-09,W11,6,S,27,NA,NA
2020-03-09,W11,6,W,26,TRUE,NA
2020-03-09,W11,7,N,10,NA,NA
2020-03-09,W11,7,E,39,NA,NA
2020-03-09,W11,7,S,35,NA,NA
2020-03-09,W11,7,W,30,NA,NA
2020-03-09,W11,8,N,45,NA,NA
2020-03-09,W11,8,E,30,TRUE,NA
2020-03-09,W11,8,S,15,TRUE,NA
2020-03-09,W11,8,W,17,NA,NA
2020-03-09,W11,9,N,25,NA,NA
2020-03-09,W11,9,E,20,NA,NA
2020-03-09,W11,9,S,25,NA,NA
2020-03-09,W11,9,W,18,NA,NA
2020-03-06,S5,1,N,10,NA,NA
2020-03-06,S5,1,E,11,NA,NA
2020-03-06,S5,1,S,17,TRUE,NA
2020-03-06,S5,1,W,13,NA,NA
2020-03-06,S5,2,N,18,NA,NA
2020-03-06,S5,2,E,22,NA,NA
2020-03-06,S5,2,S,26,NA,NA
2020-03-06,S5,2,W,24,NA,NA
2020-03-06,S5,3,N,28,NA,NA
2020-03-06,S5,3,E,27,TRUE,NA
2020-03-06,S5,3,S,14,TRUE,NA
2020-03-06,S5,3,W,13,TRUE,NA
2020-03-06,S5,4,N,12,NA,NA
2020-03-06,S5,4,E,5,TRUE,NA
2020-03-06,S5,4,S,11,NA,NA
2020-03-06,S5,4,W,5,NA,NA
2020-03-06,S5,5,N,16,TRUE,NA
2020-03-06,S5,5,E,19,TRUE,NA
2020-03-06,S5,5,S,13,NA,NA
2020-03-06,S5,5,W,8,NA,NA
2020-03-06,S5,6,N,11,NA,NA
2020-03-06,S5,6,E,13,NA,NA
2020-03-06,S5,6,S,24,NA,NA
2020-03-06,S5,6,W,18,NA,NA
2020-03-06,S5,7,N,30,NA,NA
2020-03-06,S5,7,E,25,NA,NA
2020-03-06,S5,7,S,30,NA,NA
2020-03-06,S5,7,W,33,NA,NA
2020-03-06,S5,8,N,8,NA,NA
2020-03-06,S5,8,E,23,NA,NA
2020-03-06,S5,8,S,18,NA,NA
2020-03-06,S5,8,W,22,TRUE,NA
2020-03-06,S5,9,N,11,NA,NA
2020-03-06,S5,9,E,13,NA,NA
2020-03-06,S5,9,S,10,NA,NA
2020-03-06,S5,9,W,4,TRUE,NA
2020-02-24,W18,1,N,14,NA,NA
2020-02-24,W18,1,E,6,NA,NA
2020-02-24,W18,1,S,23,NA,NA
2020-02-24,W18,1,W,15,NA,NA
2020-02-24,W18,2,N,9,TRUE,NA
2020-02-24,W18,2,E,20,NA,NA
2020-02-24,W18,2,S,10,NA,NA
2020-02-24,W18,2,W,52,NA,NA
2020-02-24,W18,3,N,9,TRUE,NA
2020-02-24,W18,3,E,22,NA,NA
2020-02-24,W18,3,S,28,NA,NA
2020-02-24,W18,3,W,12,NA,NA
2020-02-24,W18,4,N,12,TRUE,NA
2020-02-24,W18,4,E,17,NA,NA
2020-02-24,W18,4,S,20,NA,NA
2020-02-24,W18,4,W,17,NA,NA
2020-02-24,W18,5,N,22,NA,NA
2020-02-24,W18,5,E,30,TRUE,NA
2020-02-24,W18,5,S,7,NA,NA
2020-02-24,W18,5,W,27,TRUE,NA
2020-02-24,W18,6,N,7,TRUE,NA
2020-02-24,W18,6,E,10,NA,NA
2020-02-24,W18,6,S,12,NA,NA
2020-02-24,W18,6,W,14,NA,NA
2020-02-24,W18,7,N,14,TRUE,NA
2020-02-24,W18,7,E,29,NA,NA
2020-02-24,W18,7,S,14,NA,NA
2020-02-24,W18,7,W,5,NA,NA
2020-02-24,W18,8,N,29,NA,NA
2020-02-24,W18,8,E,18,NA,NA
2020-02-24,W18,8,S,44,TRUE,NA
2020-02-24,W18,8,W,12,NA,NA
2020-02-24,W18,9,N,37,NA,NA
2020-02-24,W18,9,E,26,NA,NA
2020-02-24,W18,9,S,22,NA,NA
2020-02-24,W18,9,W,20,TRUE,NA
2020-02-25,S7,1,N,35,NA,NA
2020-02-25,S7,1,E,38,NA,NA
2020-02-25,S7,1,S,25,TRUE,NA
2020-02-25,S7,1,W,45,NA,NA
2020-02-25,S7,2,N,40,NA,NA
2020-02-25,S7,2,E,34,NA,NA
2020-02-25,S7,2,S,17,NA,NA
2020-02-25,S7,2,W,24,TRUE,NA
2020-02-25,S7,3,N,25,NA,NA
2020-02-25,S7,3,E,15,NA,NA
2020-02-25,S7,3,S,35,TRUE,NA
2020-02-25,S7,3,W,12,NA,NA
2020-02-25,S7,4,N,25,TRUE,NA
2020-02-25,S7,4,E,26,NA,NA
2020-02-25,S7,4,S,15,NA,NA
2020-02-25,S7,4,W,30,TRUE,NA
2020-02-25,S7,5,N,27,TRUE,NA
2020-02-25,S7,5,E,7,NA,NA
2020-02-25,S7,5,S,24,TRUE,NA
2020-02-25,S7,5,W,28,NA,NA
2020-02-25,S7,6,N,7,NA,NA
2020-02-25,S7,6,E,20,NA,NA
2020-02-25,S7,6,S,17,NA,NA
2020-02-25,S7,6,W,13,NA,NA
2020-02-25,S7,7,N,37,NA,NA
2020-02-25,S7,7,E,20,NA,NA
2020-02-25,S7,7,S,12,NA,NA
2020-02-25,S7,7,W,27,NA,NA
2020-02-25,S7,8,N,45,NA,NA
2020-02-25,S7,8,E,18,NA,NA
2020-02-25,S7,8,S,27,NA,NA
2020-02-25,S7,8,W,18,NA,NA
2020-02-25,S7,9,N,10,TRUE,NA
2020-02-25,S7,9,E,18,TRUE,NA
2020-02-25,S7,9,S,20,NA,NA
2020-02-25,S7,9,W,15,NA,NA
2020-02-28,W26,1,N,5,NA,NA
2020-02-28,W26,1,E,6,NA,NA
2020-02-28,W26,1,S,18,NA,NA
2020-02-28,W26,1,W,6,NA,NA
2020-02-28,W26,2,N,5,TRUE,NA
2020-02-28,W26,2,E,4,NA,NA
2020-02-28,W26,2,S,12,NA,NA
2020-02-28,W26,2,W,3,NA,NA
2020-02-28,W26,3,N,6,NA,NA
2020-02-28,W26,3,E,3,NA,NA
2020-02-28,W26,3,S,5,TRUE,NA
2020-02-28,W26,3,W,7,TRUE,NA
2020-02-28,W26,4,N,6,NA,NA
2020-02-28,W26,4,E,3,NA,NA
2020-02-28,W26,4,S,6,TRUE,NA
2020-02-28,W26,4,W,6,NA,NA
2020-02-28,W26,5,N,6,TRUE,NA
2020-02-28,W26,5,E,3,NA,NA
2020-02-28,W26,5,S,5,NA,NA
2020-02-28,W26,5,W,5,NA,NA
2020-02-28,W26,6,N,NA,NA,NA
2020-02-28,W26,6,E,NA,NA,NA
2020-02-28,W26,6,S,NA,NA,NA
2020-02-28,W26,6,W,NA,NA,NA
2020-02-28,W26,7,N,7,TRUE,NA
2020-02-28,W26,7,E,11,NA,NA
2020-02-28,W26,7,S,8,NA,NA
2020-02-28,W26,7,W,3,NA,NA
2020-02-28,W26,8,N,23,TRUE,NA
2020-02-28,W26,8,E,2,NA,NA
2020-02-28,W26,8,S,2,TRUE,NA
2020-02-28,W26,8,W,17,NA,NA
2020-02-28,W26,9,N,8,NA,NA
2020-02-28,W26,9,E,10,NA,NA
2020-02-28,W26,9,S,6,TRUE,NA
2020-02-28,W26,9,W,7,TRUE,NA
2020-03-10,S3,1,N,27,NA,NA
2020-03-10,S3,1,E,25,NA,NA
2020-03-10,S3,1,S,40,NA,NA
2020-03-10,S3,1,W,40,NA,NA
2020-03-10,S3,2,N,50,NA,NA
2020-03-10,S3,2,E,40,TRUE,NA
2020-03-10,S3,2,S,45,NA,NA
2020-03-10,S3,2,W,50,NA,NA
2020-03-10,S3,3,N,40,NA,NA
2020-03-10,S3,3,E,52,TRUE,NA
2020-03-10,S3,3,S,20,NA,NA
2020-03-10,S3,3,W,40,NA,NA
2020-03-10,S3,4,N,67,TRUE,NA
2020-03-10,S3,4,E,23,NA,NA
2020-03-10,S3,4,S,26,TRUE,NA
2020-03-10,S3,4,W,40,TRUE,NA
2020-03-10,S3,5,N,8,TRUE,NA
2020-03-10,S3,5,E,22,NA,NA
2020-03-10,S3,5,S,36,TRUE,NA
2020-03-10,S3,5,W,35,NA,NA
2020-03-10,S3,6,N,40,NA,NA
2020-03-10,S3,6,E,36,NA,NA
2020-03-10,S3,6,S,40,NA,NA
2020-03-10,S3,6,W,36,TRUE,NA
2020-03-10,S3,7,N,22,NA,NA
2020-03-10,S3,7,E,17,NA,NA
2020-03-10,S3,7,S,28,NA,NA
2020-03-10,S3,7,W,27,TRUE,NA
2020-03-10,S3,8,N,12,NA,NA
2020-03-10,S3,8,E,55,NA,NA
2020-03-10,S3,8,S,53,NA,NA
2020-03-10,S3,8,W,23,NA,NA
2020-03-10,S3,9,N,20,NA,NA
2020-03-10,S3,9,E,48,NA,NA
2020-03-10,S3,9,S,29,NA,NA
2020-03-10,S3,9,W,33,NA,NA
2020-03-13,W9,1,N,38,NA,NA
2020-03-13,W9,1,E,18,NA,NA
2020-03-13,W9,1,S,30,NA,NA
2020-03-13,W9,1,W,28,NA,NA
2020-03-13,W9,2,N,20,NA,NA
2020-03-13,W9,2,E,24,NA,NA
2020-03-13,W9,2,S,40,TRUE,NA
2020-03-13,W9,2,W,38,NA,NA
2020-03-13,W9,3,N,28,TRUE,NA
2020-03-13,W9,3,E,40,NA,NA
2020-03-13,W9,3,S,36,TRUE,NA
2020-03-13,W9,3,W,46,NA,NA
2020-03-13,W9,4,N,25,NA,NA
2020-03-13,W9,4,E,26,TRUE,NA
2020-03-13,W9,4,S,23,NA,NA
2020-03-13,W9,4,W,15,NA,NA
2020-03-13,W9,5,N,29,NA,NA
2020-03-13,W9,5,E,38,NA,NA
2020-03-13,W9,5,S,28,TRUE,NA
2020-03-13,W9,5,W,21,NA,NA
2020-03-13,W9,6,N,20,NA,NA
2020-03-13,W9,6,E,18,NA,NA
2020-03-13,W9,6,S,20,NA,NA
2020-03-13,W9,6,W,28,TRUE,NA
2020-03-13,W9,7,N,25,NA,NA
2020-03-13,W9,7,E,36,NA,NA
2020-03-13,W9,7,S,30,TRUE,NA
2020-03-13,W9,7,W,17,NA,NA
2020-03-13,W9,8,N,30,TRUE,NA
2020-03-13,W9,8,E,40,TRUE,NA
2020-03-13,W9,8,S,28,NA,NA
2020-03-13,W9,8,W,18,NA,NA
2020-03-13,W9,9,N,35,NA,NA
2020-03-13,W9,9,E,25,NA,NA
2020-03-13,W9,9,S,40,NA,NA
2020-03-13,W9,9,W,20,NA,NA