date,mcdi_plot_id,subplot,scan_filename
23/02/2020,W18,1,2020.02.23-08.12.43.zfs              
23/02/2020,W18,1,2020.02.23-08.23.29.zfs              
23/02/2020,W18,2,2020.02.23-08.47.28.zfs              
23/02/2020,W18,2,2020.02.23-08.56.33.zfs              
23/02/2020,W18,3,2020.02.23-09.18.09.zfs              
23/02/2020,W18,4,2020.02.23-09.48.53.zfs              
23/02/2020,W18,4,2020.02.23-09.59.06.zfs              
23/02/2020,W18,4,2020.02.23-10.08.43.zfs              
23/02/2020,W18,5,2020.02.23-10.20.57.zfs              
23/02/2020,W18,5,2020.02.23-10.32.54.zfs              
23/02/2020,W18,6,2020.02.23-11.28.52.zfs              
23/02/2020,W18,6,2020.02.23-11.38.58.zfs              
23/02/2020,W18,7,2020.02.23-11.59.58.zfs              
23/02/2020,W18,7,2020.02.23-12.11.24.zfs              
23/02/2020,W18,8,2020.02.23-12.33.37.zfs              
23/02/2020,W18,9,2020.02.23-13.06.48.zfs              
23/02/2020,W18,9,2020.02.23-13.22.01.zfs              
25/02/2020,S7,1,2020.02.25-06.14.00.zfs            
25/02/2020,S7,2,2020.02.25-06.42.46.zfs            
25/02/2020,S7,2,2020.02.25-06.53.05.zfs            
25/02/2020,S7,3,2020.02.25-07.11.55.zfs            
25/02/2020,S7,3,2020.02.25-07.21.24.zfs            
25/02/2020,S7,4,2020.02.25-07.46.43.zfs            
25/02/2020,S7,4,2020.02.25-07.58.57.zfs            
25/02/2020,S7,5,2020.02.25-08.11.55.zfs            
25/02/2020,S7,6,2020.02.25-08.37.05.zfs            
25/02/2020,S7,7,2020.02.25-09.07.20.zfs            
25/02/2020,S7,7,2020.02.25-09.17.01.zfs            
25/02/2020,S7,8,2020.02.25-09.31.57.zfs            
25/02/2020,S7,9,2020.02.25-09.56.25.zfs            
27/02/2020,W26,1,2020.02.27-09.45.47.zfs                       
27/02/2020,W26,1,2020.02.27-09.56.49.zfs                       
27/02/2020,W26,1,2020.02.27-10.07.01.zfs                       
27/02/2020,W26,2,2020.02.27-10.20.39.zfs                       
27/02/2020,W26,2,2020.02.27-10.31.13.zfs                       
27/02/2020,W26,3,2020.02.27-10.54.48.zfs                       
27/02/2020,W26,3,2020.02.27-11.04.04.zfs                       
27/02/2020,W26,4,2020.02.27-11.23.50.zfs                       
27/02/2020,W26,4,2020.02.27-11.34.57.zfs                       
27/02/2020,W26,5,2020.02.27-11.59.20.zfs                       
27/02/2020,W26,5,2020.02.27-12.10.11.zfs                       
27/02/2020,W26,7,2020.02.27-12.33.44.zfs                       
27/02/2020,W26,7,2020.02.27-12.43.29.zfs                       
27/02/2020,W26,8,2020.02.27-13.01.19.zfs                       
27/02/2020,W26,8,2020.02.27-13.10.27.zfs                       
27/02/2020,W26,9,2020.02.27-13.31.22.zfs                       
27/02/2020,W26,9,2020.02.27-13.41.15.zfs                       
07/03/2020,S5,1,2020.03.07-07.39.37.zfs                
07/03/2020,S5,1,2020.03.07-07.50.30.zfs                
07/03/2020,S5,2,2020.03.07-08.04.56.zfs                
07/03/2020,S5,3,2020.03.07-08.34.01.zfs                
07/03/2020,S5,3,2020.03.07-08.43.51.zfs                
07/03/2020,S5,4,2020.03.07-09.03.23.zfs                
07/03/2020,S5,4,2020.03.07-09.13.36.zfs                
07/03/2020,S5,5,2020.03.07-09.31.18.zfs                
07/03/2020,S5,5,2020.03.07-09.41.08.zfs                
07/03/2020,S5,6,2020.03.07-09.58.45.zfs                
07/03/2020,S5,6,2020.03.07-10.08.41.zfs                
07/03/2020,S5,7,2020.03.07-10.25.49.zfs                
07/03/2020,S5,7,2020.03.07-10.35.36.zfs                
07/03/2020,S5,8,2020.03.07-10.54.51.zfs                
07/03/2020,S5,8,2020.03.07-11.04.31.zfs                
07/03/2020,S5,9,2020.03.07-11.24.12.zfs                
07/03/2020,S5,9,2020.03.07-11.34.26.zfs                
09/03/2020,W11,1,2020.03.09-09.08.48.zfs              
09/03/2020,W11,2,2020.03.09-09.22.06.zfs              
09/03/2020,W11,2,2020.03.09-09.32.59.zfs              
09/03/2020,W11,3,2020.03.09-09.54.44.zfs              
09/03/2020,W11,3,2020.03.09-10.04.48.zfs              
09/03/2020,W11,4,2020.03.09-10.25.09.zfs              
09/03/2020,W11,4,2020.03.09-10.35.41.zfs              
09/03/2020,W11,5,2020.03.09-10.55.37.zfs              
09/03/2020,W11,5,2020.03.09-11.05.56.zfs              
09/03/2020,W11,6,2020.03.09-11.26.33.zfs              
09/03/2020,W11,6,2020.03.09-11.37.43.zfs              
09/03/2020,W11,6,2020.03.09-11.48.14.zfs              
09/03/2020,W11,7,2020.03.09-11.59.34.zfs              
09/03/2020,W11,8,2020.03.09-12.29.42.zfs              
09/03/2020,W11,8,2020.03.09-12.39.58.zfs              
09/03/2020,W11,9,2020.03.09-12.57.38.zfs              
09/03/2020,W11,9,2020.03.09-13.06.37.zfs              
11/03/2020,S3,1,2020.03.11-06.36.47.zfs              
11/03/2020,S3,1,2020.03.11-06.47.05.zfs              
11/03/2020,S3,2,2020.03.11-07.06.59.zfs              
11/03/2020,S3,2,2020.03.11-07.16.53.zfs              
11/03/2020,S3,3,2020.03.11-07.35.35.zfs              
11/03/2020,S3,3,2020.03.11-07.45.07.zfs              
11/03/2020,S3,4,2020.03.11-08.03.48.zfs              
11/03/2020,S3,4,2020.03.11-08.14.00.zfs              
11/03/2020,S3,5,2020.03.11-08.27.17.zfs              
11/03/2020,S3,6,2020.03.11-08.56.39.zfs              
11/03/2020,S3,6,2020.03.11-09.05.56.zfs              
11/03/2020,S3,7,2020.03.11-09.26.15.zfs              
11/03/2020,S3,7,2020.03.11-09.36.11.zfs              
11/03/2020,S3,8,2020.03.11-09.55.37.zfs              
11/03/2020,S3,8,2020.03.11-10.05.44.zfs              
11/03/2020,S3,9,2020.03.11-10.25.53.zfs              
11/03/2020,S3,9,2020.03.11-10.40.22.zfs              
13/03/2020,W9,1,2020.03.13-08.16.05.zfs     
13/03/2020,W9,1,2020.03.13-08.25.10.zfs     
13/03/2020,W9,2,2020.03.13-08.43.35.zfs     
13/03/2020,W9,2,2020.03.13-08.52.50.zfs     
13/03/2020,W9,3,2020.03.13-09.06.13.zfs     
13/03/2020,W9,4,2020.03.13-09.27.24.zfs     
13/03/2020,W9,5,2020.03.13-09.49.19.zfs     
13/03/2020,W9,6,2020.03.13-10.16.19.zfs     
13/03/2020,W9,6,2020.03.13-10.25.21.zfs     
13/03/2020,W9,7,2020.03.13-10.43.46.zfs     
13/03/2020,W9,7,2020.03.13-10.53.20.zfs     
13/03/2020,W9,8,2020.03.13-11.05.45.zfs     
13/03/2020,W9,9,2020.03.13-11.28.58.zfs     