plot,scan_plot,tag,stem_id,distance_m,direction_deg,x_canopy_dim_m,y_canopy_dim_m,notes_scan,base_stem_id,height_m,dec_latitude,dec_longitude,species_binomial,dbh_cm
8,2,570,8_570,3.3,233,NA,NA,NA,8_570,5.8,-15.10807,14.87183603,Julbernardia paniculata,12
8,2,562,8_562,3,272,9.3,1.2,NA,8_562,1.5,-15.108055,14.87182698,Julbernardia paniculata,5.9
8,2,42,8_42,4.3,296,1.8,2.3,NA,8_42,6.6,-15.10797696,14.87200099,Julbernardia paniculata,8.1
8,3,94,8_94,3.6,48,2.4,2.8,NA,8_94,5.6,-15.10795299,14.87220299,Julbernardia paniculata,7.5
8,3,95,8_95,3.6,48,2.4,2.8,NA,8_94,5.6,-15.10796296,14.87220299,Julbernardia paniculata,8.5
8,3,73,8_73,2.8,189,6.4,4.8,NA,8_73,8,-15.10796498,14.87216502,Julbernardia paniculata,15.4
8,3,72,8_72,3.7,234,4.7,9.5,NA,8_72,13.2,-15.10796003,14.872132,Burkea africana,36.1
8,3,595,8_595,4.6,270,NA,NA,NA,8_595,3.8,-15.107984,14.87213502,Julbernardia paniculata,6.6
8,3,71,8_71,5.5,245,2.3,2.2,NA,8_71,8,-15.10801502,14.87209998,Julbernardia paniculata,9.7
8,3,70,8_70,6.3,252,10.8,11.8,NA,8_70,20,-15.108013,14.872104,Erythrophleum africanum,42.2
8,3,597,8_597,6.3,252,NA,NA,NA,8_597,1.6,-15.107983,14.87211398,Terminalia sericea,8.5
8,3,74,8_74,2.1,334,1.8,1.4,NA,8_74,2.8,-15.10795198,14.87216201,Combretum hereroense,5.2
8,3,84,8_84,10.2,334,5.9,5,NA,8_84,3.8,-15.10790798,14.87212798,Julbernardia paniculata,18.7
8,4,284,8_284,3,332,2.5,1.8,NA,8_284,8,-15.10822699,14.87224599,Erythrophleum africanum,12.8
8,4,288,8_288,9.3,146,6.7,7.5,NA,8_288,9.6,-15.10830997,14.87233199,Julbernardia paniculata,22.2
8,4,287,8_287,5.4,80,8.9,9.3,NA,8_287,13,-15.10831903,14.87227399,Burkea africana,30.7
8,4,285,8_285,4.7,257,7.3,7.3,NA,8_285,11.2,-15.10828299,14.87223904,Burkea africana,34.6
8,5,252,8_252,5,300,6,8.8,NA,8_252,14.2,-15.10836203,14.87191097,Julbernardia paniculata,26.4
8,5,256,8_256,5.8,300,8,4.3,NA,8_256,4.8,-15.10827502,14.87199102,Burkea africana,9.3
8,5,265,8_265,1.9,8,2.1,3,NA,8_265,5.6,-15.108358,14.87195699,Burkea africana,12
8,5,266,8_266,1.9,8,2.1,3,NA,8_265,5.6,-15.108358,14.87193,Burkea africana,6.7
8,5,272,8_272,3.8,108,1,0.9,NA,8_272,4.6,-15.108386,14.871989,Burkea africana,7.4
8,5,271,8_271,4.6,118,0.8,0.9,NA,8_271,4.6,-15.10838801,14.87197903,Burkea africana,9.6
8,5,270,8_270,3.2,122,2,2,NA,8_269,4.6,-15.10838097,14.87198004,Erythrophleum africanum,9.1
8,5,269,8_269,3.2,122,2,2,NA,8_269,4.8,-15.10839203,14.87198498,Erythrophleum africanum,9
8,5,268,8_268,3.8,148,2,2.1,NA,8_267,6.2,-15.10839002,14.87198398,Burkea africana,11
8,5,267,8_267,3.8,148,2,2,NA,8_267,6.2,-15.10838399,14.871974,Burkea africana,12
8,6,228,8_228,2.7,264,2.7,3,NA,8_227,6.8,-15.10842104,14.87163998,Burkea africana,12.9
8,6,227,8_227,2.9,270,2.7,3,NA,8_227,6.8,-15.10842003,14.87163898,Burkea africana,13.5
8,6,226,8_226,3.3,252,2.5,3.1,NA,8_226,11.4,-15.10841601,14.87164199,Julbernardia paniculata,15.6
8,6,224,8_224,4,252,0.9,0.9,NA,8_224,3.2,-15.10843503,14.87162297,Burkea africana,7.3
8,6,225,8_225,4.1,265,0.9,0.6,NA,8_225,3.2,-15.10839396,14.87162598,Burkea africana,6.2
8,6,229,8_229,4.2,292,3.4,3,NA,8_229,12.2,-15.10839203,14.87158902,Julbernardia paniculata,13.4
8,6,230,8_230,4.8,298,2.3,2.6,NA,8_230,12.2,-15.10838097,14.87158902,Julbernardia paniculata,15.7
8,6,631,8_631,5.2,312,2,3.6,NA,8_631,4,-15.10836404,14.87161601,Julbernardia paniculata,7.5
8,6,222,8_222,2.4,22,NA,NA,NA,8_222,2.3,-15.10846001,14.87159899,Pseudolachnostylis maprouneifolia,6.4
8,6,176,8_176,6.3,30,9.2,6.6,NA,8_175,5.8,-15.10832196,14.87165096,Burkea africana,30
8,6,232,8_232,2.4,30,2.4,2,NA,8_232,6.4,-15.108372,14.87163998,Burkea africana,11.2
8,7,444,8_444,3,140,1.8,1.8,NA,8_444,3.2,-15.10872597,14.87180804,Combretum collinum,8
8,7,427,8_427,4.1,182,1.7,1.5,NA,8_427,3.8,-15.10875296,14.871772,Combretum collinum,5.7
8,7,425,8_425,4.6,190,2.7,2.2,NA,8_425,3.8,-15.108746,14.87178499,Combretum hereroense,6.3
8,7,426,8_426,4.6,190,2.7,2.2,NA,8_425,3.8,-15.10875002,14.87178398,Combretum hereroense,7.1
8,7,424,8_424,3.8,208,4.2,3.4,NA,8_424,7.4,-15.108745,14.87176403,Julbernardia paniculata,15.5
8,7,639,8_639,4.9,350,NA,NA,NA,8_639,4.6,-15.10864399,14.87174199,Terminalia sericea,10
8,7,395,8_395,6.4,0,2.4,2.3,NA,8_395,7.2,-15.10864399,14.87177099,Burkea africana,8.5
8,7,445,8_445,8.1,82,NA,NA,NA,8_445,1,-15.10864802,14.87183101,Strychnos spinosa,10.6
8,8,480,8_480,3,66,2.7,1.8,NA,8_480,8.4,-15.10862597,14.87212404,Burkea africana,19.3
8,8,482,8_482,6,40,5.7,6.1,NA,8_482,4.6,-15.10862304,14.87212203,Combretum collinum,9
8,8,486,8_486,7.1,160,1.7,1.5,NA,8_486,14,-15.10869898,14.87211599,Burkea africana,30.3
8,8,487,8_487,7.1,160,1.7,1.5,NA,8_386,14,-15.108703,14.87211096,Burkea africana,17.6
8,8,601,8_601,3.3,200,NA,NA,NA,8_601,3.8,-15.10866897,14.87209998,Terminalia sericea,8.5
8,8,689,8_689,5.4,280,2,2.1,NA,8_689,3,-15.10855699,14.87233501,Diplorhynchus condylocarpon,5.3
8,8,479,8_479,3.6,340,1.7,2.4,NA,8_479,8.6,-15.10860904,14.872103,Burkea africana,15
8,9,515,8_515,5.3,328,3.5,2.9,NA,8_515,8.2,-15.10854702,14.87235898,Burkea africana,14
8,9,514,8_514,6.2,340,4.8,4.4,NA,8_513,11.8,-15.10852296,14.87235596,Julbernardia paniculata,14.8
8,9,513,8_513,6.2,340,4.8,4.4,NA,8_513,11.8,-15.10855104,14.87233199,Julbernardia paniculata,16.1
8,9,537,8_537,6,10,1.3,1.3,NA,8_537,6.3,-15.10858197,14.87247599,Combretum collinum,6.4
8,9,540,8_540,3.2,20,0.7,0.6,NA,8_540,3,-15.10854299,14.87239402,Terminalia sericea,5
1,1,NA,NA,7.1,8,2.6,4.8,NA,NA,NA,NA,NA,Erythrophleum africanum,2.4
1,1,NA,NA,7.2,32,2.7,2.5,NA,NA,NA,NA,NA,Combretum collinum,5.5
1,1,NA,NA,6.5,78,2.1,2,NA,NA,NA,NA,NA,Pterocarpus angolensis,10.2
1,1,43,1_43,5,95,2.7,2.7,NA,1_42,7.2,-14.961929,14.705339,Combretum collinum,6.7
1,1,NA,NA,5.7,108,1.7,1.8,NA,NA,NA,NA,NA,Pterocarpus angolensis,11.5
1,1,NA,NA,5.7,108,1.7,1.8,SA tree above,NA,NA,NA,NA,Pterocarpus angolensis,6.2
1,1,46,1_46,6.7,132,2.3,5,NA,1_46,7.6,-14.96195398,14.70534202,Combretum collinum,13.7
1,1,41,1_41,2.8,128,2.1,2.6,NA,1_41,3.6,-14.961972,14.70531997,Bridelia mollis,8.2
1,1,NA,NA,5.2,211,1.6,2.5,NA,NA,NA,NA,NA,Pterocarpus angolensis,9.5
1,1,NA,NA,6.7,202,4.5,4.3,NA,NA,NA,NA,NA,Combretum collinum,9.5
1,1,NA,NA,5.8,224,2.6,10.5,NA,NA,NA,NA,NA,Combretum collinum,8.8
1,1,NA,NA,2.6,242,3.4,2.7,SA tree above,NA,NA,NA,NA,Strychnos spinosa,6.7
1,1,32,1_32,7.2,270,6.3,6,NA,1_30,6.5,-14.96199497,14.70527999,Diplorhynchus condylocarpon,16.2
1,1,NA,NA,7.2,270,6.3,6,SA tree above,NA,NA,NA,NA,Diplorhynchus condylocarpon,11
1,1,NA,NA,7.2,270,6.3,6,SA tree above,NA,NA,NA,NA,Diplorhynchus condylocarpon,9.2
1,1,NA,NA,7.2,270,6.3,6,SA tree above,NA,NA,NA,NA,Diplorhynchus condylocarpon,12.3
1,1,NA,NA,3.1,324,5.1,4.8,NA,NA,NA,NA,NA,Burkea africana,12.8
1,2,71,1_71,3.3,320,5.2,3.3,NA,1_71,5.4,-14.96193504,14.70557202,Burkea africana,6.5
1,2,72,1_72,2.7,300,0.5,0.2,NA,1_72,4.9,-14.96197502,14.70558501,Diplorhynchus condylocarpon,6.1
1,2,73,1_73,4,300,2.7,2.7,NA,1_73,6.6,-14.96198097,14.70562097,Burkea africana,9.3
1,2,62,1_62,7.5,280,16.5,11.1,NA,1_62,15.2,-14.96199396,14.70555198,Julbernardia paniculata,42.7
1,2,74,1_74,3.5,260,3.6,4.4,NA,1_74,4,-14.96197603,14.705627,Bridelia mollis,5.8
1,2,NA,NA,3.5,260,3.6,4.4,SA tree above,NA,NA,NA,NA,Bridelia mollis,9.1
1,2,NA,NA,1.4,120,2.4,1,NA,NA,NA,NA,NA,Erythrophleum africanum,5.2
1,2,75,1_75,2.9,220,3.3,3.6,NA,1_75,4,-14.96197603,14.705627,Erythrophleum africanum,8.1
1,2,76,1_76,4.8,140,10.2,10.4,NA,1_76,12.5,-14.96200201,14.70563203,Burkea africana,37.5
1,2,78,1_78,7,80,13,16.5,NA,1_78,10,-14.96198801,14.70567897,Diplorhynchus condylocarpon,28.2
1,2,81,1_81,7,80,13,16.5,NA,1_81,10,-14.96198801,14.70567897,Diplorhynchus condylocarpon,33
1,2,80,1_80,7,80,13,16.5,NA,1_80,10,-14.96198801,14.70567897,Diplorhynchus condylocarpon,24.7
1,2,79,1_79,7,80,13,16.5,NA,1_79,10,-14.96198801,14.70567897,Diplorhynchus condylocarpon,34
1,3,104,1_104,5,80,3,3.3,NA,1_104,4.6,-14.96202196,14.70596496,Erythrophleum africanum,9.2
1,3,103,1_103,3.7,300,3.3,4.2,NA,1_103,NA,-14.96203604,14.70592104,Combretum collinum,4
1,3,102,1_102,7.8,240,10.3,11.3,NA,1_102,13.8,-14.96207502,14.70590201,Julbernardia paniculata,32.4
1,3,101,1_101,1.8,300,2.3,1,NA,1_101,NA,-14.96201601,14.70593797,Strychnos pungens,6.4
1,3,99,1_99,1.3,340,4.1,4.4,NA,1_99,6.2,-14.961985,14.70593998,Strychnos cocculoides,16.9
1,3,110,1_110,1.8,40,2,1,NA,1_110,9.6,-14.96193596,14.70605196,Erythrophleum africanum,6.1
1,4,358,1_358,2.8,60,5.7,6.2,NA,1_358,10.8,-14.96235204,14.705856,Julbernardia paniculata,29
1,4,359,1_359,5.8,100,9.5,9.5,NA,1_359,19.6,-14.962346,14.70586396,Julbernardia paniculata,37
1,4,360,1_360,4.4,160,4.4,3.3,NA,1_360,6,-14.96237702,14.705828,Julbernardia paniculata,8.7
1,4,361,1_361,5,220,3.7,4,NA,1_361,8.4,-14.96248196,14.70581803,Pericopsis angolensis,12.4
1,5,325,1_325,1.7,220,3.2,4,NA,1_325,5,-14.96230996,14.70555299,Bobgunnia madagascariensis,6
1,5,326,1_326,1.7,220,3.2,4,NA,1_325,5,-14.96230996,14.70555299,Bobgunnia madagascariensis,7.2
1,5,327,1_327,1.7,20,3.2,4,NA,1_325,5,-14.96230996,14.70555299,Bobgunnia madagascariensis,6.9
1,5,324,1_324,5.3,240,2.9,5.5,NA,1_324,10.6,-14.96228599,14.70555701,Julbernardia paniculata,9.8
1,5,329,1_329,4.8,140,2.4,3.8,NA,1_329,6,-14.96239697,14.70552902,Burkea africana,11.2
1,5,330,1_330,8.2,140,5.4,5.2,NA,1_330,6.2,-14.96242899,14.70554796,Pseudolachnostylis maprouneifolia,18.7
1,5,328,1_328,3.5,220,5.4,4.2,NA,1_328,13.4,-14.96234902,14.70553396,Erythrophleum africanum,14.4
1,5,NA,NA,5,200,8,3.2,NA,NA,NA,NA,NA,Erythrophleum africanum,8.5
1,5,318,1_318,7,320,4,2,NA,1_318,2.6,-14.96233301,14.70550597,Bobgunnia madagascariensis,6
1,5,NA,NA,3.4,220,2,1.8,NA,NA,NA,NA,NA,Burkea africana,5.3
1,5,307,1_307,6.3,340,7.6,4.1,NA,1_307,6.4,-14.96225699,14.70550303,Strychnos pungens,13
1,5,308,1_308,6.3,320,7.6,4.1,NA,1_307,6.5,-14.96225699,14.70550303,Strychnos pungens,12.3
1,5,319,1_319,5.2,340,3.6,4,NA,1_319,4.4,-14.96230401,14.70550203,Combretum collinum,5.5
1,5,303,1_303,9.9,340,10.9,9,NA,1_303,8.6,-14.962259,14.70547001,Diplorhynchus condylocarpon,25.8
1,5,304,1_304,9.9,340,10.9,9,NA,1_304,8.6,-14.962259,14.70547001,Diplorhynchus condylocarpon,15.8
1,5,305,1_305,9.9,340,10.9,9,NA,1_305,8.6,-14.962259,14.70547001,Diplorhynchus condylocarpon,9.9
1,5,306,1_306,9.9,340,10.9,9,NA,1_306,9.3,-14.962259,14.70547001,Diplorhynchus condylocarpon,8.8
1,5,300,1_300,9.9,340,10.9,9,NA,1_300,9.3,-14.962259,14.70547001,Diplorhynchus condylocarpon,34.2
1,5,301,1_301,9.9,340,10.9,9,NA,1_301,9.3,-14.962259,14.70547001,Diplorhynchus condylocarpon,10.7
1,6,278,1_278,3.5,100,3,4.5,NA,1_278,6.6,-14.96222396,14.70522299,Burkea africana,11
1,6,283,1_283,5.7,80,4.9,3.9,NA,1_283,6.6,-14.962302,14.70521796,Burkea africana,10.5
1,6,284,1_284,5.7,120,4.9,3.9,NA,1_283,6.6,-14.962302,14.70521796,Burkea africana,7
1,6,281,1_281,5.2,140,3.8,3.7,NA,1_281,8.2,-14.96229898,14.70524303,Erythrophleum africanum,11.3
1,6,282,1_282,5.2,140,3.8,3.7,NA,1_281,8.2,-14.96229898,14.70524303,Erythrophleum africanum,10.2
1,6,280,1_280,4.1,140,2.9,3,NA,1_280,6.2,-14.96229596,14.70522098,Pericopsis angolensis,8.6
1,6,279,1_279,2.3,140,2.5,2.5,NA,1_279,2.4,-14.96229999,14.70521403,Bobgunnia madagascariensis,8
1,6,266,1_266,4.8,100,3.3,3,NA,1_266,6.4,-14.96231298,14.70521796,Terminalia brachystemma,9.5
1,6,268,1_268,2.3,360,1,1.2,NA,1_268,NA,-14.96226101,14.70521201,Combretum collinum,5.8
1,6,269,1_269,1.9,300,3.7,4.2,NA,1_269,2.8,-14.96225397,14.70518804,Strychnos pungens,6.5
1,6,276,1_276,2.6,300,4.2,3.3,NA,1_276,4.6,-14.96222103,14.705268,Pseudolachnostylis maprouneifolia,5.9
1,6,248,1_248,6.1,340,3,1,NA,1_248,NA,-14.96222899,14.70513297,Combretum collinum,6.2
1,6,273,1_273,4.3,40,4.8,5.6,NA,1_272,2.8,-14.96222698,14.70526298,Diplorhynchus condylocarpon,11.5
1,6,272,1_272,4.3,40,4.8,5.6,NA,1_272,2.8,-14.96222698,14.70526298,Diplorhynchus condylocarpon,22.1
1,6,NA,NA,4.6,40,4.8,5.6,NA,NA,NA,NA,NA,Diplorhynchus condylocarpon,6.8
1,7,375,1_375,2.8,120,1.5,2.1,NA,1_375,4.4,-14.96254801,14.70514404,Diplorhynchus condylocarpon,7.8
1,7,376,1_376,3.8,120,2.4,2.6,NA,1_376,6.4,-14.962561,14.70516399,Erythrophleum africanum,10.5
1,7,373,1_373,5.8,280,6.8,5.4,NA,1_373,8.6,-14.96259,14.70503398,Pericopsis angolensis,17.2
1,8,470,1_470,5.9,60,4,4.2,NA,1_469,4.8,-14.96258698,14.70550697,Pseudolachnostylis maprouneifolia,9.5
1,8,469,1_469,5.9,60,4,4.2,NA,1_469,4.8,-14.96258698,14.70550697,Pseudolachnostylis maprouneifolia,10.8
1,8,471,1_471,5.2,80,2.1,2.6,NA,1_471,5.4,-14.96260601,14.70549599,Combretum collinum,6.3
1,8,482,1_482,6.3,120,10.5,9.3,NA,1_482,13,-14.96265404,14.70547202,Julbernardia paniculata,36.5
1,8,472,1_472,7.4,160,1.5,4,NA,1_472,NA,-14.96265303,14.70550002,Dombeya rotundifolia,5.8
1,8,483,1_483,2.9,280,2.2,2.1,NA,1_483,8,-14.96261196,14.70542399,Diplorhynchus condylocarpon,5
1,8,484,1_484,3.5,300,1.7,2,NA,1_484,8,-14.96259101,14.70540899,Oldfieldia dactylophylla,7.8
1,8,485,1_485,3.8,320,11.9,10,NA,1_485,17.8,-14.96259101,14.70540899,Julbernardia paniculata,42.4
1,8,448,1_448,5.9,340,5.2,3,NA,1_448,NA,-14.96259897,14.70570697,Strychnos spinosa,6.5
1,8,486,1_486,5.9,340,5.2,3,NA,1_486,9.2,-14.96259,14.70544998,Strychnos spinosa,10.1
1,9,443,1_443,3.9,340,2.2,2.7,NA,1_443,3.2,-14.96262697,14.70574896,Gardenia volkensii,5.6
1,9,442,1_442,3.6,280,4.6,3.6,NA,1_441,4.2,-14.96263401,14.70573203,Strychnos spinosa,5
1,9,441,1_441,4.4,280,4.6,3.6,NA,1_441,4.2,-14.96263401,14.70573203,Strychnos spinosa,5.1
1,9,439,1_439,2.4,280,4.6,3.8,NA,1_439,4.2,-14.96265102,14.70574896,Strychnos spinosa,5.4
1,9,440,1_440,3,280,4.6,3.6,NA,1_440,4.2,-14.96266804,14.70571904,Strychnos spinosa,5.4
1,9,438,1_438,4.7,240,2.5,3.3,NA,1_438,4.6,-14.96268799,14.70572499,Strychnos cocculoides,10.9
1,9,437,1_437,3.5,280,1.9,2.1,NA,1_437,5.2,-14.96269402,14.70573404,Pericopsis angolensis,6.7
1,9,435,1_435,2.9,200,3.3,3,NA,1_435,NA,-14.96268203,14.70571904,Pseudolachnostylis maprouneifolia,7.9
1,9,436,1_436,2.4,200,3.3,3,NA,1_435,4,-14.96268203,14.70571904,Pseudolachnostylis maprouneifolia,8.3
1,9,434,1_434,5.7,200,4.3,5,NA,1_434,4,-14.96270902,14.70573303,Julbernardia paniculata,17.1
1,9,404,1_404,6.7,100,6,5.4,NA,1_404,3.8,-14.96263501,14.705842,Diplorhynchus condylocarpon,27.1
1,9,408,1_408,7.2,100,1.6,2.3,NA,1_404,3.8,-14.96263501,14.705842,Diplorhynchus condylocarpon,17
2,1,13,2_13,3.6,50,7.2,6.3,NA,2_13,13,-15.11345998,14.81396302,Burkea africana,30.6
2,1,12,2_12,7.6,62,7.2,6.8,NA,2_12,14.4,-15.11342897,14.81399696,Burkea africana,30.8
2,1,20,2_20,2.2,212,6.7,7,NA,2_20,14,-15.11348798,14.81391096,Burkea africana,21.4
2,1,19,2_19,2.7,260,2.5,2,NA,2_19,4,-15.11348303,14.813903,Combretum collinum,5.5
2,1,15,2_15,4.6,322,6.4,6.7,NA,2_15,12,-15.113449,14.81391499,Burkea africana,25.9
2,1,16,2_16,6,340,3.6,3.1,NA,2_16,4,-15.11342101,14.81390401,Combretum zeyheri,8.9
2,1,14,2_14,2.4,21,2,1.9,NA,2_14,2.8,-15.11345504,14.81395396,Combretum collinum,5.1
2,2,83,2_83,5,50,2.5,2.7,NA,2_83,3,-15.11365302,14.81415496,Julbernardia paniculata,12.9
2,2,82,2_82,5,42,2.2,2.8,NA,2_82,4,-15.11365302,14.81415496,Julbernardia paniculata,10
2,2,52,2_52,5.5,104,1.3,1.7,NA,2_52,2.2,-15.11369199,14.81417801,Julbernardia paniculata,8.6
2,2,54,2_54,5.5,130,3.5,2.8,NA,2_54,7,-15.11375796,14.81415102,Julbernardia paniculata,12
2,2,56,2_56,6,122,3.4,4.4,NA,2_56,7,-15.11375,14.81414599,Julbernardia paniculata,16.2
2,2,57,2_57,5.3,195,1.5,1.6,NA,2_57,3.8,-15.11375201,14.81413401,Terminalia brachystemma,6.7
2,2,43,2_43,3.4,362,6.2,9.5,NA,2_43,15,-15.11367397,14.81407098,Burkea africana,38.4
2,2,44,2_44,4.5,322,3.5,2.1,NA,2_44,4.2,-15.11368202,14.81407198,Combretum collinum,5.1
2,2,40,2_40,7.3,322,15.3,12.9,NA,2_40,14.4,-15.11363198,14.81408204,Julbernardia paniculata,28.9
2,2,39,2_39,7.3,322,12.9,12.9,NA,2_39,14.4,-15.11363198,14.81408204,Julbernardia paniculata,26.8
2,3,78,2_78,4.9,82,1.4,1.7,NA,2_78,2.5,-15.11395401,14.81438798,Combretum collinum,5.5
2,3,77,2_77,4.9,108,1.3,1.6,NA,2_77,2.1,-15.11395703,14.814362,Combretum collinum,5.1
2,3,73,2_73,2.4,333,1.2,2.7,NA,2_73,3.4,-15.11394496,14.814306,Combretum collinum,5.5
2,3,72,2_72,5.5,304,2.7,2.4,NA,2_72,6.6,-15.11389802,14.81428698,Terminalia brachystemma,7.9
2,3,76,2_76,4.1,10,1.9,1.7,NA,2_76,2.3,-15.11388998,14.81433299,Combretum collinum,5
2,3,74,2_74,5.1,16,4.6,3.8,NA,2_74,8,-15.11389702,14.81433802,Lonchocarpus nelsii,13.1
2,3,75,2_75,5.1,16,4.6,3.8,NA,2_74,8,-15.11389702,14.81433802,Lonchocarpus nelsii,11
2,4,165,2_165,4,132,2,2.2,NA,2_165,2.9,-15.11420597,14.81411196,Combretum collinum,5
2,4,164,2_164,3.6,114,2.3,2.3,NA,2_164,2.8,-15.11417697,14.81410903,Combretum collinum,5.5
2,4,162,2_162,6.7,122,8.9,9.3,NA,2_162,16.4,-15.11418502,14.81415404,Burkea africana,40.5
2,4,168,2_168,1.6,210,3,3.2,NA,2_168,8.8,-15.11417999,14.81409503,Lonchocarpus nelsii,13.5
2,4,169,2_169,1.6,210,3,3.2,NA,2_168,6.8,-15.11417999,14.81409503,Lonchocarpus nelsii,8.1
2,4,170,2_170,4.2,210,2.6,2.8,NA,2_170,5.2,-15.11418804,14.81408799,Combretum collinum,8.8
2,4,156,2_156,6.4,18,2.5,2.5,NA,2_156,5,-15.11411897,14.81412797,Terminalia brachystemma,8.9
2,5,147,2_147,7,52,12.9,13,NA,2_147,16,-15.11388503,14.81392203,Burkea africana,44.9
2,5,148,2_148,5.9,60,2.9,1.1,NA,2_148,2.7,-15.11398704,14.813946,Combretum collinum,5.2
2,5,208,2_208,9.4,212,8.4,8.4,NA,2_208,14.2,-15.11399198,14.813816,Burkea africana,35.7
2,5,173,2_173,9.1,352,7.6,13.2,NA,2_173,11.6,-15.113823,14.81383997,Lonchocarpus nelsii,43.7
2,6,135,2_135,6,92,2.4,1.7,NA,2_135,4,-15.11370599,14.81375498,Combretum collinum,7.4
2,7,294,2_294,4.9,90,2.2,1.5,NA,2_294,3.6,-15.11391001,14.81351098,Combretum collinum,5.5
2,7,177,2_177,3.3,394,3.6,3.3,NA,2_177,1.8,-15.11377296,14.81341199,Julbernardia paniculata,6.7
2,7,178,2_178,3.3,394,3.6,3.3,NA,2_178,7.2,-15.11377296,14.81341199,Julbernardia paniculata,12.5
2,8,276,2_276,3.8,302,1.9,1.5,NA,2_276,3.2,-15.11390498,14.81342096,Julbernardia paniculata,6.9
